symbol,C1,C2,C3,T1,T2,T3
A1BG,0,10,0,0,2,2
A1BG-AS1,0,1,0,1,4,4
A1CF,26,22,24,39,42,65
A2M,0,0,0,0,0,0
A2M-AS1,4,2,4,5,10,6
A2ML1,0,0,0,0,0,0
A2ML1-AS1,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0
A4GALT,1280,915,1038,1276,1133,1412
A4GNT,0,0,2,0,0,2
AA06,0,0,0,0,0,0
AAAS,650,544,532,453,486,504
AACS,6159,5440,6246,3446,3383,3970
AACSP1,0,0,0,0,0,0
AADAC,644,502,640,316,352,367
AADACL2,0,1,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,0,0,1,0,0,0
AADACP1,108,113,82,66,91,88
AADAT,18,13,12,0,0,2
AAGAB,2203,1985,2175,758,802,1027
AAK1,1441,1492,1608,1442,1380,1407
AAMDC,283,214,236,342,411,360
AAMP,7563,6465,6185,6610,7097,8305
AANAT,3,6,4,40,48,41
AAR2,1244,1089,1267,1097,998,1083
AARD,0,0,0,0,0,0
AARS1,19451,17411,18619,8700,8079,9662
AARS2,652,562,618,451,578,550
AARSD1,478,421,430,305,295,312
AASDH,450,366,409,371,312,358
AASDHPPT,635,637,653,455,499,451
AASS,108,117,152,69,85,84
AATBC,0,0,8,6,4,11
AATF,892,738,832,690,650,714
AATK,19,16,9,2,0,4
ABALON,1035,804,899,443,482,460
ABAT,917,690,797,275,306,343
ABCA1,112,115,135,269,275,270
ABCA10,42,32,42,27,27,61
ABCA11P,79,76,87,77,114,69
ABCA12,16,10,16,23,12,6
ABCA13,62,35,45,78,91,109
ABCA17P,2,4,2,2,2,0
ABCA2,8361,6549,7401,6458,6377,6347
ABCA3,3471,2986,3498,1908,1823,2056
ABCA4,2,0,4,0,0,7
ABCA5,489,439,512,542,576,505
ABCA6,6,2,2,31,33,42
ABCA7,3193,2347,2775,3309,3083,3422
ABCA8,0,0,0,0,0,0
ABCA9,0,6,4,6,5,3
ABCA9-AS1,0,0,0,0,0,0
ABCB1,2,2,0,0,0,4
ABCB10,494,432,559,439,397,461
ABCB11,48,42,54,77,79,61
ABCB4,47,15,35,28,39,35
ABCB5,0,0,0,0,0,0
ABCB6,1132,937,1138,783,843,865
ABCB7,617,549,642,697,627,715
ABCB8,1111,817,928,466,427,538
ABCB9,361,300,350,172,211,240
ABCC1,3094,2577,2908,1774,1604,1858
ABCC10,1535,1247,1391,713,672,737
ABCC11,29,19,37,13,28,34
ABCC12,3,0,0,0,2,2
ABCC13,0,0,0,0,0,0
ABCC2,23,28,36,10,13,36
ABCC3,34159,27649,31424,16788,16137,17998
ABCC4,101,76,135,39,54,56
ABCC5,1049,900,992,1587,1722,1834
ABCC5-AS1,0,0,0,0,0,0
ABCC6,136,126,122,186,160,193
ABCC6P1,34,47,42,50,66,68
ABCC6P2,15,10,6,8,5,17
ABCC8,2,0,2,2,0,2
ABCC9,0,0,0,0,0,0
ABCD1,796,637,642,513,531,623
ABCD2,0,0,0,0,0,0
ABCD3,4322,3932,4470,3367,3374,3573
ABCD4,1385,1096,1152,1522,1471,1611
ABCE1,1299,1221,1378,673,698,682
ABCF1,610,533,604,513,472,546
ABCF1-DT,0,0,0,0,0,0
ABCF2,1534,1205,1350,905,754,946
ABCF2-H2BK1,0,63,28,26,87,37
ABCF3,2190,1796,2020,1787,1744,1962
ABCG1,481,455,388,1314,1398,1361
ABCG2,15,25,13,76,115,85
ABCG4,0,0,0,2,4,0
ABCG5,0,0,2,0,4,0
ABCG8,0,4,0,0,0,0
ABHD1,2,2,6,4,3,4
ABHD10,648,425,676,382,434,423
ABHD11,931,769,774,869,900,928
ABHD11-AS1,140,110,82,178,209,206
ABHD12,3532,2957,3324,2839,3194,3211
ABHD12B,7,3,12,9,9,13
ABHD13,351,352,402,316,297,334
ABHD14A,186,129,162,58,46,69
ABHD14A-ACY1,38,38,37,28,23,33
ABHD14B,1894,1698,1915,1735,1633,1924
ABHD15,819,703,703,439,413,470
ABHD16A,316,275,275,286,290,340
ABHD16B,0,0,0,0,0,3
ABHD17A,2689,2222,2718,2438,2157,2800
ABHD17B,304,263,387,368,302,294
ABHD17C,5826,5498,5825,6354,6290,6600
ABHD18,298,226,305,235,317,298
ABHD2,19932,26814,31071,26968,26242,26945
ABHD3,1074,916,1171,1107,1064,1203
ABHD4,3570,3258,3602,3532,3481,3787
ABHD5,670,599,653,634,661,762
ABHD6,497,355,417,199,216,242
ABHD8,786,630,719,786,735,921
ABI1,2497,2185,2404,2736,2466,2895
ABI2,934,971,1086,845,835,764
ABI3,0,0,0,0,0,0
ABI3BP,35,49,40,85,57,69
ABITRAM,790,708,809,697,696,737
ABL1,2451,1960,2122,1927,1732,1909
ABL2,426,390,407,317,342,326
ABLIM1,3338,2838,3172,2962,2985,3192
ABLIM2,476,364,404,347,321,374
ABLIM3,612,499,448,514,578,607
ABO,953,741,835,772,706,796
ABR,2884,2399,2672,2411,1870,2556
ABR-AS1,0,0,0,0,0,1
ABRA,0,0,0,0,0,0
ABRACL,644,555,649,687,667,758
ABRAXAS1,186,164,176,158,158,167
ABRAXAS2,581,557,623,582,549,573
ABT1,523,516,530,496,431,550
ABTB1,2237,1912,2200,4284,4274,4696
ABTB2,1529,1308,1340,1051,939,1127
ABTB3,241,170,166,54,70,62
ACAA1,5364,4549,5174,3265,3309,3649
ACAA2,1214,1153,1220,1266,1187,1404
ACACA,3657,3144,3669,1937,1766,2132
ACACB,1055,828,962,798,775,814
ACAD10,2270,1937,2066,1670,1579,1836
ACAD11,437,288,351,195,224,188
ACAD8,1061,968,964,1339,1285,1451
ACAD9,1405,1089,1381,979,1011,1136
ACAD9-DT,4,0,3,2,7,0
ACADL,0,0,0,0,0,2
ACADM,561,561,688,711,647,763
ACADS,1631,1464,1537,1572,1541,1701
ACADSB,621,518,567,406,471,424
ACADVL,19211,16195,17247,16350,16683,18509
ACAN,0,0,0,0,0,0
ACAP1,11,5,9,7,11,8
ACAP2,1046,888,1189,1111,1166,1125
ACAP3,1251,896,1100,767,672,922
ACAT1,595,499,561,239,228,266
ACAT2,3004,2573,3039,1951,1830,2080
ACBD3,2420,2130,2522,2632,2386,2603
ACBD3-AS1,1,1,0,2,0,5
ACBD4,1017,915,986,1014,937,947
ACBD5,1239,1315,1288,2995,2885,3032
ACBD6,650,590,681,548,541,555
ACBD7,48,37,50,8,23,11
ACBD7-DCLRE1CP1,2,2,0,0,0,1
ACCS,347,283,388,349,356,345
ACCSL,2,2,3,0,3,0
ACD,410,267,411,368,360,428
ACE,87,60,80,112,65,84
ACE2,381,261,325,635,593,773
ACE2-DT,0,0,0,0,0,0
ACER1,0,2,0,0,0,0
ACER2,1298,1090,1295,1680,1728,1695
ACER3,695,619,665,774,683,829
ACHE,500,379,416,1740,1582,2010
ACIN1,7074,5816,7010,6075,5969,6699
ACKR1,0,0,0,0,0,0
ACKR2,30,25,40,36,24,26
ACKR3,0,2,0,0,4,0
ACKR4,1139,1060,1194,505,521,660
ACLY,10345,8414,9793,4839,4544,5218
ACMSD,9,4,5,3,3,2
ACO1,3458,2966,3428,2128,2056,2301
ACO2,6619,5594,6186,4723,4488,5146
ACOD1,0,0,0,0,0,0
ACOT1,196,157,144,102,128,146
ACOT11,713,515,608,1027,1045,1156
ACOT12,8,13,16,7,12,12
ACOT13,1070,940,1131,957,839,1005
ACOT2,354,203,349,317,196,209
ACOT4,73,65,73,50,39,42
ACOT6,1,2,1,1,2,0
ACOT7,728,585,565,292,276,341
ACOT8,1255,1082,1128,1043,1032,1214
ACOT9,1886,1338,1796,1427,1452,1715
ACOX1,3753,3335,2266,4912,4798,5008
ACOX2,130,89,105,67,43,52
ACOX3,694,573,614,772,610,745
ACOXL,36,22,34,56,45,52
ACOXL-AS1,0,0,2,2,0,10
ACP1,2608,2439,2589,2609,2552,2800
ACP2,1545,1145,1491,1399,1465,1548
ACP3,147,104,138,158,120,137
ACP4,7,0,2,0,0,0
ACP5,1135,781,902,1907,1862,2000
ACP6,1511,1185,1454,1649,1542,1772
ACP7,1,0,0,0,0,0
ACR,0,0,0,2,0,0
ACRBP,134,142,133,49,69,73
ACRV1,0,1,0,0,0,0
ACSBG1,6,4,7,4,2,11
ACSBG2,2,2,2,1,0,3
ACSF2,1789,1671,1798,2427,2257,2454
ACSF3,874,777,778,849,820,855
ACSL1,5765,4755,5423,2877,2909,3241
ACSL3,5460,4719,5833,4204,3779,4568
ACSL3-AS1,5,2,0,6,5,10
ACSL4,1078,1342,1304,1263,1286,1411
ACSL5,8526,7094,8404,5572,5318,6230
ACSL6,18,23,35,36,38,50
ACSL6-AS1,0,0,0,0,0,0
ACSM1,53,30,50,28,33,23
ACSM2A,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0
ACSM3,521,535,491,264,197,233
ACSM4,0,0,0,0,0,0
ACSM5,0,0,0,0,0,0
ACSM6,0,0,0,0,0,0
ACSS1,2124,1682,1935,863,842,954
ACSS2,19443,15568,18357,8986,8517,10399
ACSS3,0,0,0,0,0,0
ACTA1,0,0,0,0,0,0
ACTA2,530,421,557,378,365,463
ACTA2-AS1,0,0,0,2,0,7
ACTB,144097,107110,124030,57277,53647,60712
ACTBL2,48,44,74,36,50,40
ACTC1,0,0,0,2,0,0
ACTE1P,0,0,0,0,0,0
ACTG1,86718,69639,77443,67654,65559,70124
ACTG1P17,6,8,11,6,4,2
ACTG1P20,23,26,5,15,20,21
ACTG1P25,9,10,12,5,0,4
ACTG1P4,30,23,24,20,25,31
ACTG2,0,0,0,0,0,0
ACTL10,112,94,89,64,63,83
ACTL6A,1065,922,1030,628,605,808
ACTL6B,0,0,0,0,0,0
ACTL7A,0,0,0,0,0,0
ACTL7B,0,0,0,0,0,0
ACTL8,10,10,13,4,0,6
ACTL9,0,0,0,0,0,0
ACTMAP,294,343,342,397,427,430
ACTN1,12299,10152,12083,10926,10065,11978
ACTN1-DT,0,0,0,0,3,2
ACTN2,0,0,0,0,0,0
ACTN3,0,0,0,0,0,0
ACTN4,26800,21812,25859,15378,13808,16219
ACTR10,1567,1469,1681,1401,1407,1516
ACTR1A,3957,3170,3659,3082,2845,3656
ACTR1B,2195,1785,1920,1723,1686,1570
ACTR2,6399,6194,6635,5098,3576,5594
ACTR3,7653,6734,7808,5956,5769,6646
ACTR3-AS1,0,2,2,2,1,1
ACTR3B,264,224,247,136,149,121
ACTR3BP2,0,0,0,0,0,0
ACTR3BP5,0,0,0,0,0,0
ACTR3C,144,132,132,159,199,164
ACTR5,397,301,354,281,279,306
ACTR6,392,359,431,394,434,441
ACTR8,839,755,849,892,841,825
ACTRT1,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0
ACTRT3,9,4,11,24,26,29
ACVR1,1731,1457,1759,1398,1487,1544
ACVR1B,1326,1229,1236,1389,1204,1365
ACVR1C,112,93,123,72,58,96
ACVR2A,631,523,574,604,568,588
ACVR2B,258,203,256,342,360,389
ACVR2B-AS1,19,18,20,35,35,32
ACVRL1,0,0,0,10,12,0
ACY1,1877,1569,1585,1655,1779,1995
ACY3,268,196,208,107,100,135
ACYP1,102,131,122,69,135,153
ACYP2,266,229,207,175,209,202
ADA,247,203,179,185,211,188
ADA2,0,0,0,0,0,0
ADAD1,0,0,0,0,0,0
ADAD2,0,0,0,0,0,0
ADAL,119,111,162,90,100,114
ADAM10,5206,4864,5551,5397,5408,5464
ADAM11,8,4,8,17,15,8
ADAM12,23,6,8,2,10,3
ADAM15,22677,19133,20853,13709,13081,14900
ADAM15-EFNA4,0,0,2,2,0,2
ADAM17,950,787,915,1038,1074,1102
ADAM18,0,0,0,0,0,0
ADAM19,6,0,4,0,0,0
ADAM2,0,0,0,0,0,0
ADAM20,34,39,18,23,26,28
ADAM20P1,13,12,13,8,12,16
ADAM21,9,13,0,6,4,11
ADAM21P1,1,1,0,2,2,1
ADAM22,44,28,34,23,46,48
ADAM23,0,2,0,0,0,0
ADAM28,447,334,353,1471,1449,1682
ADAM29,0,0,0,0,0,0
ADAM30,0,0,0,0,0,0
ADAM32,26,14,27,18,15,20
ADAM33,0,3,0,0,2,0
ADAM3A,0,0,0,0,0,0
ADAM3B,0,0,0,0,0,0
ADAM5,0,0,0,0,0,0
ADAM6,0,0,0,0,0,0
ADAM7,0,0,0,0,0,0
ADAM7-AS1,2,2,0,7,3,3
ADAM7-AS2,0,0,0,0,0,0
ADAM8,160,149,124,149,147,130
ADAM9,15048,12941,14880,9392,9024,9766
ADAMDEC1,0,0,0,0,0,0
ADAMTS1,46,22,39,40,51,45
ADAMTS10,2,0,2,0,0,0
ADAMTS12,0,0,0,0,0,0
ADAMTS13,252,200,236,270,272,237
ADAMTS14,323,249,238,58,70,71
ADAMTS15,35,29,18,4,2,4
ADAMTS16,2,0,0,2,0,0
ADAMTS16-DT,0,0,0,0,0,0
ADAMTS17,28,18,33,38,20,43
ADAMTS18,0,0,0,0,0,0
ADAMTS19,0,2,2,0,0,0
ADAMTS19-AS1,2,2,2,0,0,0
ADAMTS2,0,0,0,0,0,0
ADAMTS20,0,0,0,0,0,0
ADAMTS3,0,0,0,0,0,0
ADAMTS4,0,0,0,0,4,6
ADAMTS5,0,0,0,0,0,0
ADAMTS6,26,12,21,21,16,38
ADAMTS7,72,66,58,40,62,43
ADAMTS7P1,2,0,2,0,1,0
ADAMTS8,0,4,3,8,0,6
ADAMTS9,1812,1659,1866,1469,1592,1942
ADAMTS9-AS1,2,0,0,0,0,0
ADAMTS9-AS2,23,30,30,57,67,77
ADAMTSL1,0,0,0,0,0,0
ADAMTSL2,0,0,0,0,2,0
ADAMTSL3,0,0,0,0,0,0
ADAMTSL4,1206,832,900,646,615,606
ADAMTSL4-AS1,0,0,3,0,2,1
ADAMTSL4-AS2,1,4,3,3,8,9
ADAMTSL5,705,505,635,549,512,592
ADAP1,3824,3427,3787,2481,2489,2708
ADAP2,8,12,8,13,10,13
ADAR,9662,8419,8974,10932,11184,12519
ADARB1,325,300,356,101,101,119
ADARB2,0,0,0,0,0,0
ADARB2-AS1,0,0,0,0,0,0
ADAT1,519,495,644,441,479,460
ADAT2,100,99,92,26,91,38
ADAT3,235,170,203,174,133,212
ADCK1,306,231,238,105,95,109
ADCK2,1315,1071,1119,945,875,1011
ADCK5,210,138,201,172,184,172
ADCY1,49,19,31,10,8,8
ADCY10,0,3,7,1,6,4
ADCY10P1,42,32,46,41,39,36
ADCY2,0,0,0,0,0,0
ADCY3,280,225,287,101,103,88
ADCY4,308,202,222,311,290,334
ADCY5,14,4,10,6,6,10
ADCY6,4733,3945,4370,4280,4348,4681
ADCY6-DT,9,6,0,5,4,3
ADCY7,331,315,333,211,200,204
ADCY8,0,0,0,0,0,0
ADCY9,2591,981,973,1602,1516,627
ADCYAP1,0,0,0,0,0,0
ADCYAP1R1,0,0,0,0,0,0
ADD1,5471,4664,5221,5497,5247,5735
ADD2,0,0,0,0,0,0
ADD3,3969,3629,4188,5511,5080,5394
ADD3-AS1,3,5,4,2,2,6
ADGB,0,0,0,0,0,0
ADGB-DT,0,0,0,0,0,0
ADGRA1,2,0,2,2,2,4
ADGRA1-AS1,0,0,0,0,0,0
ADGRA2,5,2,18,4,0,6
ADGRA3,1462,1222,1382,831,651,829
ADGRB1,13,2,4,6,4,3
ADGRB2,14,32,20,52,53,60
ADGRB3,0,0,0,0,0,0
ADGRB3-DT,0,0,0,0,0,0
ADGRD1,0,0,0,0,0,0
ADGRD1-AS1,0,0,0,0,0,0
ADGRD2,0,0,0,0,0,0
ADGRE1,0,0,0,0,0,0
ADGRE2,46,24,36,30,28,28
ADGRE3,0,0,0,0,0,0
ADGRE4P,0,0,0,0,0,0
ADGRE5,4709,3983,4420,3343,3184,3699
ADGRF1,11529,10114,11595,15185,15582,16658
ADGRF2,0,0,0,0,2,0
ADGRF3,11,8,4,0,2,6
ADGRF4,18,9,23,12,8,10
ADGRF5,4,0,0,0,2,0
ADGRF5-AS1,0,0,0,0,0,0
ADGRG1,3979,3476,3910,1596,1748,1988
ADGRG2,257,206,240,113,97,103
ADGRG3,0,0,0,0,0,0
ADGRG4,0,0,0,0,0,0
ADGRG5,0,0,0,0,0,0
ADGRG6,7306,7140,8204,5618,5064,5268
ADGRG7,121,110,108,230,228,225
ADGRL1,658,584,651,577,534,614
ADGRL1-AS1,24,33,29,36,24,31
ADGRL2,4,2,2,0,0,4
ADGRL3,4,7,2,0,2,0
ADGRL3-AS1,0,0,0,0,0,0
ADGRL4,0,0,0,0,0,0
ADGRV1,0,10,9,24,17,19
ADH1A,2,2,0,0,0,0
ADH1B,19,9,6,3,3,8
ADH1C,625,553,544,317,280,361
ADH4,0,0,0,2,0,0
ADH5,2458,2271,2377,2599,2689,2846
ADH6,31,21,33,8,6,8
ADH7,0,0,0,0,0,0
ADHFE1,250,213,246,209,219,230
ADI1,1190,1022,941,1220,1134,1295
ADIG,0,0,0,0,0,0
ADIPINT,0,0,0,0,0,0
ADIPOQ,0,0,0,0,0,0
ADIPOQ-AS1,0,0,0,0,0,0
ADIPOR1,5654,5006,3920,6731,4201,7173
ADIPOR2,3880,3352,4038,3180,1143,3313
ADIRF,4214,3933,4200,4894,5311,5954
ADIRF-AS1,136,97,91,102,99,94
ADISSP,568,509,413,220,188,191
ADK,582,547,549,265,250,259
ADM,1955,1578,1787,3142,3050,2942
ADM2,2260,1893,2074,935,765,1050
ADM5,10,14,8,11,6,7
ADNP,3066,2817,3234,637,2992,3412
ADNP-AS1,12,11,13,4,12,19
ADNP2,898,779,908,731,714,757
ADO,725,582,663,472,408,536
ADORA1,98,86,101,327,312,354
ADORA2A,23,63,55,61,14,66
ADORA2A-AS1,8,12,3,7,10,4
ADORA2B,1428,1314,1473,1181,1137,1381
ADORA3,0,0,0,0,0,0
ADPGK,1728,1395,1563,1294,1259,1311
ADPGK-AS1,3,0,5,7,0,5
ADPRH,14,10,18,14,6,6
ADPRHL1,283,258,304,313,317,303
ADPRM,165,174,184,253,206,244
ADPRS,1889,1667,1841,1769,1655,1902
ADRA1A,0,0,0,0,0,0
ADRA1B,0,0,0,0,0,0
ADRA1D,14,4,2,4,0,0
ADRA2A,2738,2013,2490,1107,1098,1268
ADRA2B,63,35,60,95,82,95
ADRA2C,16,8,10,6,0,6
ADRB1,67,46,58,25,18,23
ADRB2,118,97,112,172,171,212
ADRB3,0,0,0,0,0,0
ADRM1,3480,2665,3010,2669,2533,2961
ADSL,1417,1163,1278,842,786,832
ADSS1,471,505,474,631,628,642
ADSS2,1410,1257,1407,1357,1212,1302
ADTRP,0,0,0,0,0,0
AEBP1,0,0,2,0,4,2
AEBP2,638,547,565,621,567,535
AEN,1154,949,998,505,571,670
AFAP1,1201,575,679,1244,1133,1175
AFAP1-AS1,124,125,158,118,117,125
AFAP1L1,10,11,4,44,23,16
AFAP1L2,1260,855,1186,1135,1088,1235
AFDN,5976,5021,6001,6120,6018,6161
AFDN-DT,61,36,45,58,67,55
AFF1,2553,2275,2568,2757,2644,2748
AFF1-AS1,36,43,52,45,40,51
AFF2,42,29,30,25,14,29
AFF3,0,0,0,0,0,0
AFF4,3101,2631,3177,1613,3437,3633
AFF4-DT,0,0,0,0,0,0
AFG1L,61,94,81,104,91,80
AFG2A,1011,895,516,669,663,734
AFG2B,393,374,393,352,442,417
AFG3L1P,654,464,595,335,346,400
AFG3L2,2324,1940,2228,1440,1724,1410
AFM,0,0,0,0,0,0
AFMID,1045,1018,1155,1469,1502,1579
AFP,0,0,0,0,0,0
AFTPH,1861,1639,1876,2025,1936,2042
AFTPH-DT,8,8,8,20,33,29
AGA,805,628,716,303,284,322
AGA-DT,24,25,38,8,4,12
AGAP1,2699,2228,2606,2161,1897,2287
AGAP1-IT1,31,32,30,34,30,27
AGAP10P,28,24,28,28,24,22
AGAP11,303,290,337,328,321,356
AGAP12P,40,27,20,18,26,21
AGAP13P,110,66,90,59,55,100
AGAP14P,28,18,13,13,22,17
AGAP2,1,0,2,0,8,2
AGAP2-AS1,73,56,74,44,63,70
AGAP3,2739,2240,2683,3228,2921,3233
AGAP4,337,259,351,354,383,363
AGAP5,316,255,260,244,265,269
AGAP6,228,340,348,259,215,275
AGAP7P,99,66,78,82,81,89
AGAP9,367,291,380,192,258,281
AGBL1,0,2,0,0,2,0
AGBL1-AS1,0,0,0,0,0,0
AGBL2,21,24,17,12,16,29
AGBL3,31,33,19,27,20,28
AGBL4,0,0,0,0,0,0
AGBL4-AS1,0,0,0,0,0,0
AGBL4-IT1,0,0,0,0,0,0
AGBL5,687,533,580,730,731,809
AGBL5-AS1,4,1,0,2,1,1
AGER,25,19,23,18,17,18
AGFG1,3011,2817,3240,2630,2876,2842
AGFG2,2670,2164,2609,3476,3019,3650
AGGF1,848,856,869,901,808,862
AGK,494,396,403,384,368,436
AGK-DT,0,0,0,0,0,0
AGL,623,588,668,449,495,479
AGMAT,50,34,30,21,27,22
AGMO,4,2,4,2,4,8
AGO1,1161,934,1015,1028,910,1073
AGO2,1647,1557,1499,1941,1907,2031
AGO3,370,350,429,315,295,372
AGO4,1708,1370,1693,1746,1899,1818
AGPAT1,386,321,373,333,319,364
AGPAT2,6535,5745,6354,6584,6213,6930
AGPAT3,3721,4751,5435,4519,4344,4704
AGPAT4,200,186,235,161,166,223
AGPAT4-IT1,6,1,1,4,2,0
AGPAT5,199,188,196,243,208,274
AGPS,1752,1459,1891,714,718,802
AGR2,78520,72091,75531,50434,46374,53156
AGR3,1057,1074,945,1100,1395,1317
AGRN,43878,35446,37175,25722,24518,30920
AGRP,0,0,0,0,0,0
AGT,120,93,111,4,13,23
AGTPBP1,516,451,576,664,549,648
AGTR1,4,0,0,4,0,4
AGTR2,0,0,0,0,0,0
AGTRAP,480,402,375,555,538,667
AGXT,2,0,0,4,4,5
AGXT2,0,0,0,0,0,0
AHCTF1,1480,1255,1547,1449,1238,1464
AHCTF1P1,108,84,116,92,84,87
AHCY,6378,5395,5898,3277,3278,2830
AHCYL1,9627,8400,9826,9460,8639,9822
AHCYL2,2459,2156,2474,4158,3933,4156
AHDC1,2405,1794,2015,1667,1524,1715
AHI1,537,513,588,552,529,481
AHI1-DT,5,9,3,13,12,5
AHNAK,52515,47154,51068,37909,38270,36873
AHNAK2,2237,1872,2214,258,246,263
AHR,7157,6216,7481,4231,3979,4309
AHRR,0,0,0,0,0,78
AHSA1,3481,2861,3303,2709,2444,3041
AHSA2P,2607,2191,2248,1948,2123,1688
AHSG,52,36,30,56,61,47
AHSP,0,3,0,0,0,0
AICDA,0,0,0,0,0,0
AIDA,1021,999,1087,1493,1498,1433
AIF1,0,0,0,0,0,0
AIF1L,147,99,130,303,301,292
AIFM1,1634,1301,1506,1000,987,1106
AIFM2,1751,1518,1614,1319,1324,1468
AIFM3,71,85,62,50,35,47
AIG1,1387,1437,1459,743,863,831
AIM2,0,0,0,0,2,0
AIMP1,1264,1091,1198,1102,1097,1099
AIMP2,723,728,828,453,371,391
AIP,2349,2098,2384,3159,3082,3591
AIPL1,0,0,0,0,0,0
AIRE,0,0,0,4,2,0
AIRIM,363,305,349,277,221,280
AIRN,0,0,0,0,0,0
AJAP1,0,0,0,0,0,0
AJM1,1452,1056,1212,1208,1038,1111
AJUBA,5413,4671,5001,2481,2516,1606
AJUBA-DT,9,14,17,6,8,2
AK1,555,609,628,366,466,641
AK2,4246,3805,4236,3691,3420,3954
AK3,3066,2952,1941,1886,1829,3593
AK4,4009,3992,4475,3964,3891,4161
AK5,0,0,2,0,2,0
AK6,178,150,194,132,147,136
AK7,551,465,547,565,528,607
AK8,31,17,29,29,27,18
AK9,215,206,245,375,296,331
AKAIN1,0,0,0,0,0,0
AKAP1,4030,3272,3789,3138,2908,3317
AKAP1-DT,54,38,43,48,59,55
AKAP10,995,847,569,579,590,635
AKAP11,1376,1249,1460,1451,1393,1474
AKAP12,247,189,194,481,430,527
AKAP13,7117,6040,7002,8173,8245,8113
AKAP14,0,0,0,0,0,0
AKAP17A,1354,1074,1118,1174,1056,1232
AKAP17BP,0,0,0,0,0,0
AKAP3,134,101,134,158,175,149
AKAP4,0,0,0,0,0,0
AKAP5,10,20,8,19,8,27
AKAP6,12,2,2,10,4,2
AKAP7,52,46,62,22,49,59
AKAP8,994,876,869,801,849,949
AKAP8L,2855,2396,2852,2291,2048,2581
AKAP9,1403,1282,1420,1546,1652,1744
AKIP1,388,372,459,293,320,397
AKIRIN1,1973,1693,1784,1627,1455,1731
AKIRIN2,889,677,853,1147,1055,1160
AKNA,854,613,708,753,699,805
AKNAD1,0,0,0,0,0,0
AKR1A1,4863,4151,4511,4305,4186,4721
AKR1B1,1244,920,1040,981,1010,1264
AKR1B10,18000,15395,17866,8539,8056,11149
AKR1B15,177,132,157,78,90,99
AKR1C1,454,373,482,754,688,993
AKR1C2,361,225,284,557,488,782
AKR1C3,11813,9921,11133,10825,10588,13353
AKR1C4,62,41,54,57,55,69
AKR1C6P,0,0,0,0,0,0
AKR1C8,2,0,0,0,2,0
AKR1D1,0,0,0,0,0,0
AKR1E2,28,19,32,31,42,25
AKR7A2,5545,4873,5207,4536,4342,4746
AKR7A2P1,10,3,4,4,2,3
AKR7A3,6466,5177,6035,6391,5759,6707
AKR7L,246,288,261,362,237,360
AKT1,7815,6925,7283,5937,5881,6628
AKT1S1,1746,1349,861,1633,1419,1791
AKT2,2628,2124,2368,1964,1821,2172
AKT3,2,1,2,2,1,2
AKT3-IT1,0,0,0,0,0,0
AKTIP,908,805,887,524,509,587
ALAD,5851,5076,5512,4636,4513,5295
ALAS1,6724,6017,6472,6734,6139,6895
ALAS2,4,0,2,4,6,6
ALB,4,0,5,0,0,12
ALCAM,3803,3346,3973,3590,3514,3709
ALDH16A1,916,722,786,701,664,827
ALDH18A1,14196,13084,15058,12224,11546,12993
ALDH1A1,12864,10862,12530,4410,4382,5131
ALDH1A2,2,0,2,3,2,8
ALDH1A2-AS1,0,0,0,0,0,0
ALDH1A3,22386,18390,19860,31962,30090,31957
ALDH1A3-AS1,436,360,349,628,678,483
ALDH1B1,342,301,326,137,114,107
ALDH1L1,3068,2797,2737,2306,2315,2437
ALDH1L1-AS1,3,2,2,0,2,1
ALDH1L1-AS2,10,8,2,17,8,6
ALDH1L2,1744,1668,5049,579,472,533
ALDH2,24752,20417,22940,29870,28729,32533
ALDH3A1,62268,49144,54794,33455,31086,40333
ALDH3A2,9307,8671,9102,5987,6308,6466
ALDH3B1,16971,14915,15107,12573,12072,12561
ALDH3B2,238,169,220,141,161,161
ALDH4A1,656,506,608,215,208,269
ALDH5A1,234,203,203,173,186,176
ALDH6A1,453,369,455,480,428,513
ALDH7A1,4316,3625,4059,4359,4225,4714
ALDH8A1,29,13,13,14,13,12
ALDH9A1,2290,2004,2265,1400,1423,1391
ALDOA,169960,155945,169009,179291,169524,181701
ALDOB,762,687,818,11204,10663,13548
ALDOC,17203,14693,16705,10988,10857,11677
ALG1,882,822,859,519,591,653
ALG10,79,79,72,79,43,65
ALG10B,228,266,234,246,255,224
ALG11,1028,889,1080,890,883,1011
ALG12,1520,1320,1508,1278,1219,1319
ALG13,1746,1383,1612,1570,1592,1596
ALG14,222,162,160,172,169,187
ALG14-AS1,0,0,0,0,0,0
ALG1L1P,5,0,2,8,0,3
ALG1L2,13,10,11,19,28,33
ALG1L9P,2,9,10,2,4,2
ALG2,1617,1558,1828,1177,1243,1585
ALG3,1433,1208,1361,742,820,924
ALG5,750,739,798,567,555,568
ALG6,230,219,266,193,202,201
ALG8,646,599,689,409,489,461
ALG9,598,551,516,533,527,602
ALK,0,0,0,0,0,0
ALKAL1,77,64,58,70,51,96
ALKAL2,2,0,0,4,1,0
ALKBH1,328,386,347,358,382,416
ALKBH2,260,245,257,205,217,203
